Auflistung der Hauptversammlungen in 1997
(Quellen: Das Wolowitz; USHV)


Lumbrein.Dörfles.Motoarena	06.06.	Lurtigen
EBAV			01.06.	Dehnhof
Egaz			29.06.	Tressenried
Ekedu			01.08.	Vorbach
Tegelaers, Roman		03.08.	Furthammer
Epumol		05.08.	Beihingen
Eskildsen		04.08.	Euersdorf
EDP		05.08.	Irlmühle
ENIO			11.08. 	Dargen
EBG		27.06.	Irlmühle
Lützellinden		22.07.	Marzahn
Egop			18.08.	Sattling
EFP			08.06.	Cattenstedt
EONV			07.06.
Luppath			20.04.	Vorbach
Enoza			27.07.	Unstruttal

Utemu		12.04.	Poschetsried
Ulazi UKTV	07.04.	Multhöpen
Ulasu			18.07.	Minderlittgen
UTJS			16.06.	Zschadraß
Lepler			11.08.	Dargen
Utef			01.06.	Prießeck
Utef.Handelsbank	20.05.	Dargen
CursdorfFlorinchen		27.05.	
Utef.Dogan	08.06.	
unicef			21.07. 	Dargen
Ulup			01.08.	Visperterminen
Lawall, Ivo.Hinrich.	27.07.	Euersdorf
UNZO		01.08.	Euersdorf
Lingscheidt, Patrik		29.07.	Irlmühle
Ungenutzt		27.07.	xx
Cirkwehrumer Elektro	27.07.	Cirkwehrum
Cirkwehrumer Migendt		xx.08.	Cirkwehrum
UJAA	09.08.	Dargen
UsosibUniversitätsbedarf		17.01.	Cirkwehrum
Uwine		20.07.	Vorbach
Unibuch		14.06.	Vorbach
Ulap		07.09.	Euersdorf
ULUP	04.08.	Dehnhof
Upud	10.08.	Vorbach
UE 2000 Unterhaltungselektronik			19.08.	Vorbach
UUPV			16.06.	Dargen
UBU			28.06.	Irlmühle
Uleg		23.06.	Lippholthausen
ULKL	08.08.	Cirkwehrum
Udit		23.05.	Essingen
Utat		12.07.	Calmbach
UCLB			20.04.	Baisweil
Buerg.Brauh.Müssighof	19.08.	Müssighof
Ufeme			07.06.	Irlmühle
Ultee			27.07.	Calmbach

Riwi			20.07.	Cammer
RIZ		14.07.	Calmbach
Rokada Rosenlöcher		12.07.	Prießeck
Rißcenter		29.06.	Prießeck
Radwainski		01.07.	Vorbach
R + K Automobile		01.06.	Dargen
Radstudio		06.07.	Elz
RNM		08.07.	Dargen
RCVG			22.07.	Dargen

DAB Flechtdorf.Akt.Brauerei	21.07.	Fiestel
NAFL		29.06.	Irlmühle
Data Modul		16.08.	Dargen
NRVU Nako	01.08.	Frammersbach
NOVIS-Soft			31.12.?	Frammersbach
Naturalia		27.07.	Burgsalach
Neotechnik			18.03.	Vorbach
NMHF			27.07.	Burgsalach
Naza	06.07.	Prießeck
Netcologne	20.04.	Weißpriach
Nöcker		21.06.	Vorbach
Nöth	27.05.	Vorbach
Naujokat	08.06.	Elz
NMKB 
NWI	27.07.	Euersdorf
NDK		28.07.	Prießeck
NDR NIV	15.07.	Vorbach
Nico			22.06.	Burgsalach
Jungk			11.08.	Lippholthausen
Friolzheim		08.06.	Voitshofen
Norman			27.07.	Karsten
Jocobs 		29.07.	Zielheim
NTT 		24.06.	Vorbach
Frankenvorstadt			04.08.	Irlmühle
Flond Enil		28.07.	Chossewitz
Justen		29.07.	Burgsalach
NDM	03.08. 	Dargen

* vorlaeufiger Termin
+ widerspruechliche Angaben


-- 
                           efkjl.ftbg@lrjvmao-uxqed.mf
                    http://byvx.a-gdmykc.ve/tamb/jlems
